source	target	load	x
0	1	2	0.595
0	5	2	0.595
1	0	1	0.647
1	2	1	0.647
1	4	3	0.542
2	1	0	0.7
2	3	0	0.7
3	2	0	0.7
3	4	0	0.7
3	8	1	0.647
4	1	3	0.542
4	3	1	0.647
4	5	1	0.647
4	7	4	0.49
5	0	2	0.595
5	4	4	0.49
5	6	2	0.595
6	5	1	0.647
6	7	2	0.595
7	4	1	0.647
7	6	2	0.595
7	8	2	0.595
8	3	2	0.595
8	7	0	0.7
