source	target	load	x
0	1	4	0.49
0	5	1	0.647
1	0	2	0.595
1	2	0	0.7
1	4	3	0.542
2	1	0	0.7
2	3	0	0.7
3	2	0	0.7
3	4	0	0.7
3	8	1	0.647
4	1	1	0.647
4	3	1	0.647
4	5	2	0.595
4	7	3	0.542
5	0	3	0.542
5	4	2	0.595
5	6	4	0.49
6	5	2	0.595
6	7	2	0.595
7	4	4	0.49
7	6	1	0.647
7	8	4	0.49
8	3	2	0.595
8	7	0	0.7
