source	target	load	x
0	1	2	0.34
0	5	0	0.4
1	0	0	0.4
1	2	0	0.4
1	4	1	0.37
2	1	0	0.4
2	3	0	0.4
3	2	0	0.4
3	4	0	0.4
3	8	1	0.37
4	1	2	0.34
4	3	5	0.25
4	5	0	0.4
4	7	1	0.37
5	0	3	0.31
5	4	9	0.13
5	6	1	0.37
6	5	1	0.37
6	7	8	0.16
7	4	2	0.34
7	6	0	0.4
7	8	4	0.28
8	3	0	0.4
8	7	0	0.4
