source	target	load	x
0	1	6	0.385
0	5	2	0.595
1	0	2	0.595
1	2	5	0.438
1	4	3	0.542
2	1	1	0.647
2	3	0	0.7
3	2	1	0.647
3	4	3	0.542
3	8	3	0.542
4	1	2	0.595
4	3	4	0.49
4	5	2	0.595
4	7	7	0.333
5	0	4	0.49
5	4	4	0.49
5	6	2	0.595
6	5	2	0.595
6	7	5	0.438
7	4	1	0.647
7	6	2	0.595
7	8	3	0.542
8	3	2	0.595
8	7	2	0.595
